City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Altay,CN,47.8667,88.1167,40.62,25,38,2.17,scattered clouds
1,Cockburn Town,TC,21.4612,-71.1419,78.33,74,50,16.73,scattered clouds
2,Atuona,PF,-9.8,-139.0333,80.01,76,64,16.78,broken clouds
3,Kuminskiy,RU,58.6667,66.5667,44.8,76,97,8.61,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,62.6,82,75,9.22,broken clouds
5,Poum,NC,-20.2333,164.0167,77.41,69,52,22.08,broken clouds
6,Faanui,PF,-16.4833,-151.75,81.55,63,18,2.42,few clouds
7,Gat,IL,31.61,34.7642,68.0,100,9,1.01,clear sky
8,Ponta Do Sol,PT,32.6667,-17.1,59.0,78,47,3.0,scattered clouds
9,Kavieng,PG,-2.5744,150.7967,84.22,66,94,2.59,overcast clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,61.0,94,1,4.61,clear sky
11,Port Elizabeth,ZA,-33.918,25.5701,57.2,88,0,2.84,clear sky
12,Avarua,CK,-21.2078,-159.775,82.4,74,98,10.36,overcast clouds
13,Punta Arenas,CL,-53.15,-70.9167,46.4,93,75,2.3,light rain
14,Mataura,NZ,-46.1927,168.8643,48.0,78,100,18.01,overcast clouds
15,Sydney,AU,-33.8679,151.2073,71.01,49,20,4.61,few clouds
16,Chernogorsk,RU,53.8236,91.2842,44.6,45,0,4.47,clear sky
17,Ushuaia,AR,-54.8,-68.3,46.4,81,75,16.11,light intensity drizzle
18,Pulsano,IT,40.3821,17.3564,55.0,57,7,5.01,clear sky
19,Yenagoa,NG,4.9247,6.2642,78.3,88,95,3.58,overcast clouds
20,Port Alfred,ZA,-33.5906,26.891,71.47,45,91,9.46,overcast clouds
21,Busselton,AU,-33.65,115.3333,72.0,65,99,4.0,overcast clouds
22,Rikitea,PF,-23.1203,-134.9692,77.95,74,26,5.28,scattered clouds
23,Rochegda,RU,62.8,43.25,39.9,92,100,5.48,overcast clouds
24,Pisco,PE,-13.7,-76.2167,64.4,88,40,2.3,scattered clouds
25,Provideniya,RU,64.3833,-173.3,41.0,60,0,4.47,clear sky
26,Cherskiy,RU,68.75,161.3,21.99,72,89,6.06,overcast clouds
27,Severo-Kurilsk,RU,50.6789,156.125,31.93,97,100,14.47,snow
28,Narsaq,GL,60.9167,-46.05,50.0,32,75,32.21,broken clouds
29,Nuuk,GL,64.1835,-51.7216,39.2,81,75,8.05,broken clouds
30,Nikolskoye,RU,59.7035,30.7861,39.0,93,90,11.18,light intensity drizzle
31,Ambilobe,MG,-13.2,49.05,70.41,86,88,3.27,overcast clouds
32,Flin Flon,CA,54.7682,-101.865,29.35,70,100,1.88,overcast clouds
33,Saint-Pierre,RE,-21.3393,55.4781,77.0,65,0,20.71,clear sky
34,Leh,IN,34.1667,77.5833,36.54,32,0,1.34,clear sky
35,Arraial Do Cabo,BR,-22.9661,-42.0278,74.05,86,66,8.75,broken clouds
36,Rawah,IQ,34.4816,41.9093,79.25,20,100,4.63,overcast clouds
37,Hermanus,ZA,-34.4187,19.2345,59.0,92,1,4.0,clear sky
38,Bac Lieu,VN,9.285,105.7244,88.11,60,56,8.23,broken clouds
39,Nyandoma,RU,61.669,40.1991,38.57,97,100,4.88,overcast clouds
